Bucket label,RT,m/z,Name,Formula,Peak number
1423.83057 Da 13.42 s,0.22,712.92256,,,bin_224
887.93268 Da 13.42 s,0.22,888.93996,,C35H12N12O6S6,bin_225
789.92275 Da 13.42 s,0.22,790.93003,,,bin_226
1507.85773 Da 13.42 s,0.22,754.93614,,,bin_227
465.92824 Da 13.42 s,0.22,466.93552,,,bin_228
779.92301 Da 13.42 s,0.22,780.93029,,C21H16N16S9,bin_229
711.82789 Da 13.44 s,0.22,712.83516,,,bin_230
485.91389 Da 13.92 s,0.23,486.92117,,C18H7N4O3PS4,bin_231
643.83305 Da 14.10 s,0.23,644.84033,,C19H12N6S10,bin_232
329.93674 Da 14.42 s,0.24,330.94402,,C9H14OS6,bin_233
234.97271 Da 16.94 s,0.28,235.97999,,C5H5N3O4S2,bin_234
200.01987 Da 17.95 s,0.3,201.02715,,C10H4N2O3,bin_235
107.03190 Da 18.22 s,0.3,108.03917,,,bin_236
190.00588 Da 18.45 s,0.31,96.01022,,,bin_237
104.93735 Da 18.45 s,0.31,105.94463,,,bin_238
278.01156 Da 21.44 s,0.36,279.01884,,C16H7O3P,bin_239
260.08964 Da 28.96 s,0.48,261.09691,,C8H8N10O,bin_240
99.99160 Da 33.79 s,0.56,100.99888,,,bin_241
258.07376 Da 34.03 s,0.57,259.08103,,C11H14O7,bin_242
503.93945 Da 36.28 s,0.6,252.977,,,bin_243
80.48262 Da 36.58 s,0.61,81.48989,,,bin_244
112.94142 Da 36.58 s,0.61,113.94869,,,bin_245
130.99282 Da 37.71 s,0.63,132.00009,,,bin_246
99.03329 Da 38.86 s,0.65,100.04056,,,bin_247
248.07224 Da 41.71 s,0.7,125.0434,,C14H8N4O,bin_248
193.88129 Da 41.71 s,0.7,97.94792,,,bin_249
106.53388 Da 47.73 s,0.8,107.54116,,,bin_250
165.96046 Da 49.39 s,0.82,166.96774,,,bin_251
77.51290 Da 51.50 s,0.86,78.52018,,,bin_252
138.05234 Da 51.50 s,0.86,70.03345,,,bin_253
404.10461 Da 51.50 s,0.86,203.05958,,,bin_254
162.06206 Da 51.54 s,0.86,82.03831,,,bin_255
116.03356 Da 51.54 s,0.86,117.04084,,,bin_256
174.07344 Da 51.54 s,0.86,88.044,,,bin_257
69.02626 Da 51.57 s,0.86,70.03354,,,bin_258
169.05951 Da 51.58 s,0.86,170.06679,,,bin_259
145.98627 Da 51.59 s,0.86,146.99355,,C5H6OS2,bin_260
78.53070 Da 51.65 s,0.86,79.53797,,,bin_261
95.00303 Da 51.68 s,0.86,96.0103,,,bin_262
196.00747 Da 51.68 s,0.86,99.01101,,,bin_263
161.95318 Da 51.68 s,0.86,81.98387,,,bin_264
136.93916 Da 51.68 s,0.86,69.47686,,,bin_265
137.97714 Da 51.68 s,0.86,69.99585,,,bin_266
72.48914 Da 51.68 s,0.86,73.49642,,,bin_267
171.91611 Da 51.68 s,0.86,86.96533,,,bin_268
197.04700 Da 51.68 s,0.86,99.53078,,,bin_269
174.01923 Da 51.68 s,0.86,88.01689,,,bin_270
154.96117 Da 51.68 s,0.86,78.48786,,,bin_271
172.98206 Da 51.68 s,0.86,87.49831,,,bin_272
87.91893 Da 51.68 s,0.86,88.92621,,,bin_273
124.96868 Da 51.68 s,0.86,125.97596,,,bin_274
106.51621 Da 51.68 s,0.86,107.52349,,,bin_275
96.96197 Da 51.68 s,0.86,97.96925,,,bin_276
157.99446 Da 51.68 s,0.86,80.00451,,,bin_277
89.49300 Da 51.68 s,0.86,90.50028,,,bin_278
115.52540 Da 51.68 s,0.86,116.53267,,,bin_279
207.95430 Da 51.68 s,0.86,104.98442,,,bin_280
206.11186 Da 51.68 s,0.86,207.11913,,,bin_281
116.02024 Da 51.68 s,0.86,117.02752,,,bin_282
162.00816 Da 51.74 s,0.86,82.01136,,,bin_283
69.52519 Da 51.80 s,0.86,70.53247,,,bin_284
222.00496 Da 51.80 s,0.86,223.01223,,C8H6N4S2,bin_285
145.04832 Da 51.80 s,0.86,73.53144,,,bin_286
211.06154 Da 58.46 s,0.97,212.06882,,C6H14NO5P,bin_287
364.09157 Da 58.63 s,0.98,183.05306,,C18H8N10,bin_288
130.52768 Da 58.80 s,0.98,131.53495,,,bin_289
524.14259 Da 58.80 s,0.98,263.07857,,,bin_290
121.51867 Da 58.80 s,0.98,122.52595,,,bin_291
313.96656 Da 58.80 s,0.98,314.97384,,C10H6N2O6S2,bin_292
73.01607 Da 58.82 s,0.98,74.02334,,C2H3NO2,bin_293
562.21067 Da 61.95 s,1.03,282.11261,,C27H38N4O3S3,bin_294
480.12543 Da 61.95 s,1.03,481.13271,,C19H16N10O6,bin_295
295.08602 Da 61.95 s,1.03,296.0933,,C6H13N7O7,bin_296
182.54313 Da 62.15 s,1.04,183.5504,,,bin_297
215.05560 Da 63.86 s,1.06,216.06287,,C8H5N7O,bin_298
197.10027 Da 64.53 s,1.08,198.10754,,C5H15N3O5,bin_299
419.20070 Da 64.53 s,1.08,420.20798,,C13H21N15O2,bin_300
544.19791 Da 64.53 s,1.08,273.10623,,,bin_301
724.28304 Da 64.53 s,1.08,363.14879,,C27H52N10O3S5,bin_302
94.51531 Da 64.76 s,1.08,95.52258,,,bin_303
207.03181 Da 64.76 s,1.08,208.03909,,C13H5NO2,bin_304
352.13740 Da 65.12 s,1.09,177.07598,,,bin_305
280.06360 Da 65.12 s,1.09,281.07087,,,bin_306
73.05260 Da 65.12 s,1.09,74.05987,,C3H7NO,bin_307
182.04127 Da 66.07 s,1.1,183.04855,,,bin_308
131.06546 Da 67.34 s,1.12,132.07273,Creatine,C4H9N3O2,bin_309
453.19619 Da 67.68 s,1.13,454.20347,,C12H28N11O6P,bin_310
98.01497 Da 67.68 s,1.13,99.02224,,,bin_311
71.98528 Da 67.68 s,1.13,72.99256,,,bin_312
359.17917 Da 67.68 s,1.13,360.18645,,C13H29NO10,bin_313
119.04560 Da 67.68 s,1.13,120.05288,,,bin_314
545.25709 Da 67.68 s,1.13,546.26437,,C19H39N5O13,bin_315
101.06429 Da 67.68 s,1.13,102.07157,,,bin_316
127.61517 Da 68.24 s,1.14,128.62245,,,bin_317
301.23620 Da 68.24 s,1.14,151.62538,,C11H27N9O,bin_318
736.14075 Da 69.99 s,1.17,369.07765,,,bin_319
395.02793 Da 69.99 s,1.17,396.03521,,,bin_320
192.04644 Da 69.99 s,1.17,97.03049,,,bin_321
