Bucket label,RT,m/z,Name,Formula,Peak number
234.97271 Da 16.94 s,0.28,235.97999,,C5H5N3O4S2,pos 234.97271 Da 16.94 s
200.01987 Da 17.95 s,0.3,201.02715,,C10H4N2O3,pos 200.01987 Da 17.95 s
107.03190 Da 18.22 s,0.3,108.03917,,,pos 107.03190 Da 18.22 s
190.00588 Da 18.45 s,0.31,96.01022,,,pos 190.00588 Da 18.45 s
104.93735 Da 18.45 s,0.31,105.94463,,,pos 104.93735 Da 18.45 s
278.01156 Da 21.44 s,0.36,279.01884,,C16H7O3P,pos 278.01156 Da 21.44 s
260.08964 Da 28.96 s,0.48,261.09691,,C8H8N10O,pos 260.08964 Da 28.96 s
99.99160 Da 33.79 s,0.56,100.99888,,,pos 99.99160 Da 33.79 s
258.07376 Da 34.03 s,0.57,259.08103,,C11H14O7,pos 258.07376 Da 34.03 s
503.93945 Da 36.28 s,0.6,252.977,,,pos 503.93945 Da 36.28 s
80.48262 Da 36.58 s,0.61,81.48989,,,pos 80.48262 Da 36.58 s
112.94142 Da 36.58 s,0.61,113.94869,,,pos 112.94142 Da 36.58 s
130.99282 Da 37.71 s,0.63,132.00009,,,pos 130.99282 Da 37.71 s
99.03329 Da 38.86 s,0.65,100.04056,,,pos 99.03329 Da 38.86 s
248.07224 Da 41.71 s,0.7,125.0434,,C14H8N4O,pos 248.07224 Da 41.71 s
193.88129 Da 41.71 s,0.7,97.94792,,,pos 193.88129 Da 41.71 s
106.53388 Da 47.73 s,0.8,107.54116,,,pos 106.53388 Da 47.73 s
165.96046 Da 49.39 s,0.82,166.96774,,,pos 165.96046 Da 49.39 s
77.51290 Da 51.50 s,0.86,78.52018,,,pos 77.51290 Da 51.50 s
138.05234 Da 51.50 s,0.86,70.03345,,,pos 138.05234 Da 51.50 s
404.10461 Da 51.50 s,0.86,203.05958,,,pos 404.10461 Da 51.50 s
162.06206 Da 51.54 s,0.86,82.03831,,,pos 162.06206 Da 51.54 s
116.03356 Da 51.54 s,0.86,117.04084,,,pos 116.03356 Da 51.54 s
